Name;Slug
Algeria;algeria
Argentina;argentina
Armenia;armenia
Australia;australia
Belarus;belarus
Bhutan;bhutan
Bolivia;bolivia
Bosnia and Herzegovina;bosnia-and-herzegovina
Botswana;botswana
Brazil;brazil
Bulgaria;bulgaria
Cameroon;cameroon
Chile;chile
Costa Rica;costa-rica
Croatia;croatia
Cyprus;cyprus
Czech Republic;czech-republic
Ecuador;ecuador
El Salvador;el-salvador
Ethiopia;ethiopia
Finland;finland
France;france
Georgia;georgia
Germany;germany
Greece;greece
Hong Kong, China;hong-kong-china
Hungary;hungary
India;india
Indonesia;indonesia
Iran;iran
Israel;israel
Italy;italy
Jordan;jordan
Kazakhstan;kazakhstan
Kenya;kenya
Kyrgyzstan;kyrgyzstan
Lithuania;lithuania
Malaysia;malaysia
Mauritania;mauritania
Mexico;mexico
Mongolia;mongolia
Morocco;morocco
Namibia;namibia
Netherlands;netherlands
Nigeria;nigeria
North Macedonia;north-macedonia
Pakistan;pakistan
Philippines;philippines
Poland;poland
Romania;romania
Rwanda;rwanda
Serbia;serbia
Singapore;singapore
South Africa;south-africa
Sri Lanka;sri-lanka
Tunisia;tunisia
Turkey;turkey
Uganda;uganda
Ukraine;ukraine
United Kingdom;united-kingdom
Uzbekistan;uzbekistan
